Document,Type,
Catering Manual Contents,Policy / Guidance,
Aims and Objectives,Policy / Guidance,
Meal Specification,Policy / Guidance,
Menu Planning and Nutrition,Policy / Guidance,
Special Requirements,Policy / Guidance,
Kitchen Management,Policy / Guidance,
Customer Service,Policy / Guidance,
Mealtime Experience Checklist for Care Homes and Retirement Living,Policy / Guidance,
Performance Indicators,Policy / Guidance,
Budgeting,Policy / Guidance,
Staffing,Policy / Guidance,
Kitchen Maintenance,Policy / Guidance,
Food Processing,Policy / Guidance,
Mental capacity and deprivation of liberty safeguards policy,Policy / Guidance,
Mental capacity power of attorney listing,Form / Chart,
Mental capacity advance airective or decision Notification,Form / Chart,
Mental capacity assessment and best interests retirement living,Form / Chart,
Mental capacity deprivation of libery safeguards log,Form / Chart,
Consent Policy,Policy / Guidance,
Consent Form - Care Homes,Form / Chart,
Consent Form - Retirement Living,Form / Chart,
Consent Form - Nominated Individuals,Form / Chart,
Wheelchairs and Safety Belts,Policy / Guidance,
Wheelchairs - Guidance for Residents,Form / Chart,
Wheelchairs - Risk Assessment,Form / Chart,
Management and Safe Use of Bedrails,Policy / Guidance,
Bedrails Risk Assessment and Review Record,Form / Chart,
Bedrails Daily Check Record,Form / Chart,
Advocacy Policy,Policy / Guidance,
Advocacy Information,Further Information,
Resuscitation policy,Policy / Guidance,
CPR and DNACPR Information Leaflet,Further Information,
CPR and DNACPR List,Form / Chart,
Defibrillator Check Record ,Form / Chart,
Standard Infection Control Precautions (SICPs) Policy,Policy / Guidance,
Managing Infections and Outbreaks,Policy / Guidance,
Infection Control Annual Statement,Policy / Guidance,
Infection Control Audit January,Policy / Guidance,
Infection Control Audit April,Policy / Guidance,
Infection Control Audit July,Policy / Guidance,
Infection Control Audit October,Policy / Guidance,
Infection Control - Outbreak Record,Form / Chart,
Infection Control - Equipment Cleaning Checklist,Further Information,
Infection Control - Equipment Decontamination Record,Further Information,
Infection Control - Mattress and Cushion Inspection,Further Information,
Retirement Living Infection Control Audit January,Further Information,
Retirement Living Infection Control Audit April,Further Information,
Retirement Living Infection Control Audit July,Further Information,
Retirement Living Infection Control Audit October,Further Information,
Infection Control - Infection on Premises Notice,Form / Chart,
Infectious Illness and Outbreaks Risk Assessment,Form / Chart,
